ID_Ra;Navn;CO2;Energi;Fedt;Kulhydrat;Protein
Ra00197;Tuna. raw;3.10;496;1.1;0;26.8
Ra00198;Salmon. Atlantic. aquaculture. cold smoked;2.78;711;8.9;1.6;20.9
Ra00199;Salmon. atlantic. aquaculture. hot smoked;3.08;1108;20.7;0;20.1
Ra00200;Salmon. atlantic. aquaculture. raw;2.09;947;18.3;0;15.8
Ra00201;Mayonnaise. low fat;1.17;1899;51.3;0;0
Ra00202;Mayonnaise;3.13;3002;80;0.1;1.1
Ra00203;Remoulade. average values;1.86;1568;36.8;12;1.1
Ra00204;Oyster. raw;0.84;258;1.5;4.2;7.8
Ra00205;Mussel. raw;0.19;348;2.2;0;11.9
Ra00206;Octopus. raw;0.38;324;0.9;1.5;16.4
Ra00207;Mushroom. raw;0.38;110;0.3;0;2.9
Ra00208;Oyster mushroom;0.38;182;0.4;6.5;3.3
Ra00209;Almondmilk. unfortified;0.53;196;2.2;4.3;0.8
Ra00210;Ricemilk. with added calcium;1.40;230;0.9;6.9;0.1
Ra00211;Oatmilk. with added calcium;0.40;190;1.6;5.6;0.6
Ra00212;Soymilk. with added calcium;0.46;190;1.9;3.3;3.6
Ra00213;Bouillon. chicken. prepared;0.35;18;0.2;0.3;0.3
Ra00214;Meat balls. canned;16.13;525;9.6;2.9;7.1
Ra00215;Bouillon. beef. prepared;0.55;30;0.2;0.1;1.1
Ra00216;Meat balls. average values;16.13;603;9.5;6;8.8
Ra00217;Dumplings. average values;1.33;764;11.6;12.8;5.4
Ra00218;Meat balls. frozen;15.79;679;9.4;9;10.5
Ra00219;Soup. tomato. ready to eat;2.19;304;1.5;12.7;1.6
Ra00220;Bouillon. beef. concentrated. cube;9.94;676;3.2;12;17
Ra00221;Dumplings. frozen;1.37;792;13;9.8;7
Ra00222;Chicken. grilled. fast food;4.71;888;11.2;0;28
Ra00223;Chicken nuggets. deepfried. ready meals;4.34;1171;16.1;19.1;14.7
Ra00224;Pizza with tomato and cheese. ready meals;2.44;1351;13.5;35.7;13.3
Ra00225;Pizza with seafood. tomato and cheese. ready meals;3.63;1073;10;26.7;13.8
Ra00226;Pizza with salami. tomato and cheese. ready meals;3.04;1308;14.5;31.7;12.8
Ra00227;Pizza with vegetables. fruit. tomato and cheese. ready meals;2.32;921;8.4;26.8;8.1
Ra00228;Pizza with meat. tomato and cheese. ready meals;4.56;1081;9.8;29.5;11.8
Ra00229;Pizza with meat and seafood. tomato and cheese. ready meals;4.10;958;9.3;22.4;12.8
Ra00230;Veal and pork. mince. 15-20% fat. raw;22.04;904;16.4;0;17.6
Ra00231;Goat milk;2.80;289;4.1;4.4;3.5
Ra00232;Marzipan;12.08;1997;26.5;42;13.3
Ra00233;Syrup. kitchen;1.75;1307;0;76.7;0.3
Ra00234;Pasta. raw;2.05;1532;1.8;73.9;13.5
Ra00235;Apple. raw. all varieties;0.61;233;0.2;10.9;0.3
Ra00236;Pear. raw;0.46;207;0.1;8.3;0.3
Ra00237;Grape. raw;0.88;285;0;15.3;0.6
Ra00238;Pork. collar with rind. raw;4.64;1139;23.4;0;16.1
Ra00239;Pork. ham. topside (M. Semimembranosus). lean. raw;4.64;446;2.2;0;21.4
Ra00240;Pork. loin. lean. raw;5.53;450;1.9;0;22.3
Ra00241;Pork. tenderloin. trimmed. raw;7.32;484;3.3;0;21.2
Ra00242;Pork. mince. 5-10% fat. raw;3.67;726;11.2;0;18.4
Ra00243;Pork. collar. defatted. raw;4.69;756;12.4;0;17.4
Ra00244;Pork. mince. 15-20% fat. raw;3.75;929;17.2;0;17.1
Ra00245;Minced meat. spaghetti sauce type. average values. ready meals;19.74;528;8.3;4.9;8.1
Ra00246;Turtle. fake. average values. ready meals;26.36;457;6.2;5.5;7.9
Ra00247;Spring roll. frozen. ready meals;3.11;631;6.8;15.5;5.8
Ra00248;Pork in curry sauce. frozen. ready meals;4.72;497;8.6;2;8.5
Ra00249;Pizza Romana. frozen. ready meals;2.70;745;5.8;23.1;7.2
Ra00250;Liver. pig. in cream sauce. frozen. ready meals;2.98;519;5.4;6.9;11.9
Ra00251;Pizza Napolitana. frozen. ready meals;2.47;761;6.1;21.9;8.6
Ra00252;Spring roll. deepfried. ready meals;3.11;851;9.8;21.4;6.1
Ra00253;Pizza with broccoli. frozen. ready meals;2.35;816;6.7;23.6;8.7
Ra00254;Pizza with tuna. frozen. ready meals;2.29;855;5.7;25.9;11
Ra00255;Pork. minced and bound with flour and egg. boiled. frozen. ready meals;2.24;908;15.5;3.9;15.8
Ra00256;Potato. raw;0.41;326;0.3;17.9;2
Ra00257;Carrot. raw;0.27;152;0.4;6.2;0.7
Ra00258;Radish. raw;0.45;48;0.1;1.3;0.8
Ra00259;Beet. red. raw;0.33;220;0.3;9.9;1.7
Ra00260;Celeriac. celery root. raw;0.38;143;0.3;2;1.8
Ra00261;Ginger root. raw;1.27;352;0.8;16.7;1.8
Ra00262;Fennel. root. raw;0.15;95;0.2;2.9;1.4
Ra00263;Turnip. raw;0.27;110;0.1;3.8;0.6
Ra00264;Onions. chopped. frozen;0.38;117;0.1;5;0.8
Ra00265;Carrot. frozen;0.38;124;0.2;4.7;1.1
Ra00266;Onion. raw;0.27;183;0.1;5.4;1.2
Ra00267;Onions. spring. raw;0.81;139;0.2;4.7;1.8
Ra00268;Cassava. raw;0.70;659;0.3;36.3;1.4
Ra00269;Parsley root. raw;0.95;232;0.6;8;2.3
Ra00270;Cheese. semihard. Feta. 40 % fidm;1.60;1059;19.2;0.5;19
Ra00271;Cheese. Danish Blue. 50 % fidm.;5.41;1450;29.5;0;20.1
Ra00272;Lamb. leg. unspecified . raw;36.43;749;12;0;17.9
Ra00273;Lamb. meat. average values. raw;36.43;1365;30.5;0;13.9
Ra00274;Crayfish. raw;2.54;287;0.5;1.2;14.6
Ra00275;Shrimps. boiled. shell removed;8.40;291;0.8;0;15.3
Ra00276;Lobster. raw;2.54;393;1.3;0.8;19.6
Ra00277;Crab. boiled;4.42;541;5.2;0.5;20.1
Ra00278;Prawn. giant tiger. aquaculture. boiled. frozen;10.04;263;0.3;0;14.8
Ra00279;Shrimp. boiled. in brine;8.40;303;0.9;0.4;15.5
Ra00280;Pop corn. oil and salt added. traditional;1.53;1960;20.2;57.9;9.6
Ra00281;Peanuts. oilroasted and salted;3.47;2614;53.3;8.1;28.4
Ra00282;Strawberry. raw;0.65;162;0.6;6.1;0.7
Ra00283;Raspberry. raw;1.20;215;1.3;4;1.4
Ra00284;Currant. black. raw;0.80;314;1.3;9.9;1.5
Ra00285;Blueberries. raw;1.22;219;0.5;10.4;0.7
Ra00286;Blackberry. raw;1.38;153;1;4.5;1.4
Ra00287;Rose hip. raw;0.72;332;0.5;15;0.6
Ra00288;Elderberry. raw;1.38;281;0.5;11.6;0.7
Ra00289;Currant. red. raw;0.80;265;1.7;9.3;1.3
Ra00290;Gooseberry. raw;1.00;185;0.5;7.3;0.9
Ra00291;Strawberries. frozen. unsweetened;0.60;173;0.4;5.9;0.4
Ra00292;Cranberry. raw;0.79;177;0.1;7.6;0.4
Ra00293;Blueberry. frozen. unsweetened;0.99;224;0.6;10.7;0.4
